,Group,Type,OverStatus,Recruited,Survey_Completed,Boarded,Cert_Completed,Slides_Completed,Launch_Completed
1,Group_1,Type1,Yes Yes Yes No No No,Yes,Yes,Yes,No,No,No
2,Group_2,Type2,Yes No No No No No,Yes,No,No,No,No,No
3,Group_3,Type3,Yes Yes Yes Yes Yes No,Yes,Yes,Yes,Yes,Yes,No
4,Group_4,Type4,Yes Yes Yes Yes Yes No,Yes,Yes,Yes,Yes,Yes,No
5,Group_5,Type1,Yes Yes Yes No No No,Yes,Yes,Yes,No,No,No
6,Group_6,Type2,Yes Yes Yes Yes Yes Yes,Yes,Yes,Yes,Yes,Yes,Yes
7,Group_7,Type3,Yes No No No No No,Yes,No,No,No,No,No
8,Group_8,Type4,Yes No No No No No,Yes,No,No,No,No,No
9,Group_9,Type1,Yes Yes Yes Yes Yes No,Yes,Yes,Yes,Yes,Yes,No
10,Group_12,Type4,Yes Yes Yes No No No,Yes,Yes,Yes,No,No,No
11,Group_15,Type3,Yes Yes Yes Yes Yes Yes,Yes,Yes,Yes,Yes,Yes,Yes
12,Group_16,Type4,Yes Yes No No No No,Yes,Yes,No,No,No,No
13,Group_17,Type1,Yes No No No No No,Yes,No,No,No,No,No
14,Group_18,Type2,Yes Yes Yes Yes Yes No,Yes,Yes,Yes,Yes,Yes,No
15,Group_19,Type3,Yes Yes Yes Yes Yes No,Yes,Yes,Yes,Yes,Yes,No
16,Group_21,Type1,Yes Yes No No No No,Yes,Yes,No,No,No,No
17,Group_22,Type2,Yes Yes Yes Yes Yes Yes,Yes,Yes,Yes,Yes,Yes,Yes
18,Group_23,Type3,Yes Yes No No No No,Yes,Yes,No,No,No,No
19,Group_25,Type1,Yes Yes Yes No No No,Yes,Yes,Yes,No,No,No
20,Group_26,Type2,Yes Yes No No No No,Yes,Yes,No,No,No,No
21,Group_27,Type3,Yes Yes Yes No No No,Yes,Yes,Yes,No,No,No
22,Group_28,Type4,Yes Yes Yes Yes Yes No,Yes,Yes,Yes,Yes,Yes,No
23,Group_29,Type1,Yes No No No No No,Yes,No,No,No,No,No
24,Group_30,Type2,Yes Yes Yes Yes Yes No,Yes,Yes,Yes,Yes,Yes,No
25,Group_31,Type3,Yes Yes No No No No,Yes,Yes,No,No,No,No
26,Group_32,Type4,Yes Yes Yes Yes Yes No,Yes,Yes,Yes,Yes,Yes,No
27,Group_33,Type1,Yes Yes Yes Yes Yes Yes,Yes,Yes,Yes,Yes,Yes,Yes
28,Group_34,Type2,Yes Yes Yes No No No,Yes,Yes,Yes,No,No,No
29,Group_35,Type3,Yes Yes Yes No No No,Yes,Yes,Yes,No,No,No
30,Group_36,Type4,Yes Yes Yes Yes No No,Yes,Yes,Yes,Yes,No,No
31,Group_37,Type1,Yes Yes No No No No,Yes,Yes,No,No,No,No
32,Group_38,Type2,Yes Yes Yes Yes Yes No,Yes,Yes,Yes,Yes,Yes,No
33,Group_39,Type3,Yes Yes Yes Yes Yes No,Yes,Yes,Yes,Yes,Yes,No
34,Group_40,Type4,Yes Yes Yes Yes Yes Yes,Yes,Yes,Yes,Yes,Yes,Yes
35,Group_41,Type1,Yes Yes Yes Yes Yes No,Yes,Yes,Yes,Yes,Yes,No
36,Group_43,Type3,Yes Yes Yes No No No,Yes,Yes,Yes,No,No,No
37,Group_44,Type4,Yes Yes Yes Yes Yes No,Yes,Yes,Yes,Yes,Yes,No
38,Group_45,Type1,Yes Yes Yes No No No,Yes,Yes,Yes,No,No,No
39,Group_46,Type2,Yes Yes Yes Yes No No,Yes,Yes,Yes,Yes,No,No
40,Group_48,Type4,Yes Yes No No No No,Yes,Yes,No,No,No,No
41,Group_49,Type1,Yes Yes Yes Yes Yes Yes,Yes,Yes,Yes,Yes,Yes,Yes
42,Group_50,Type2,Yes Yes Yes Yes Yes Yes,Yes,Yes,Yes,Yes,Yes,Yes
43,Group_51,Type3,Yes Yes Yes Yes Yes Yes,Yes,Yes,Yes,Yes,Yes,Yes
44,Group_52,Type4,Yes No No No No No,Yes,No,No,No,No,No
45,Group_54,Type2,Yes Yes No No No No,Yes,Yes,No,No,No,No
46,Group_55,Type3,Yes Yes Yes Yes Yes No,Yes,Yes,Yes,Yes,Yes,No
47,Group_56,Type4,Yes Yes Yes No No No,Yes,Yes,Yes,No,No,No
48,Group_57,Type1,Yes Yes Yes Yes Yes Yes,Yes,Yes,Yes,Yes,Yes,Yes
49,Group_59,Type3,Yes Yes Yes No No No,Yes,Yes,Yes,No,No,No
50,Group_60,Type4,Yes Yes No No No No,Yes,Yes,No,No,No,No
51,Group_61,Type1,Yes Yes Yes Yes No No,Yes,Yes,Yes,Yes,No,No
52,Group_62,Type2,Yes Yes Yes Yes Yes Yes,Yes,Yes,Yes,Yes,Yes,Yes
53,Group_63,Type3,Yes Yes Yes No No No,Yes,Yes,Yes,No,No,No
54,Group_64,Type4,Yes Yes Yes No No No,Yes,Yes,Yes,No,No,No
55,Group_65,Type1,Yes No No No No No,Yes,No,No,No,No,No
56,Group_66,Type2,Yes No No No No No,Yes,No,No,No,No,No
57,Group_67,Type3,Yes Yes No No No No,Yes,Yes,No,No,No,No
58,Group_68,Type4,Yes Yes Yes Yes Yes No,Yes,Yes,Yes,Yes,Yes,No
59,Group_69,Type1,Yes Yes Yes No No No,Yes,Yes,Yes,No,No,No
60,Group_70,Type2,Yes Yes No No No No,Yes,Yes,No,No,No,No
61,Group_71,Type3,Yes Yes Yes No No No,Yes,Yes,Yes,No,No,No
62,Group_74,Type2,Yes Yes Yes Yes Yes Yes,Yes,Yes,Yes,Yes,Yes,Yes
63,Group_75,Type3,Yes Yes Yes Yes Yes No,Yes,Yes,Yes,Yes,Yes,No
64,Group_76,Type4,Yes Yes Yes No No No,Yes,Yes,Yes,No,No,No
65,Group_77,Type1,Yes Yes Yes Yes Yes Yes,Yes,Yes,Yes,Yes,Yes,Yes
66,Group_78,Type2,Yes Yes Yes Yes Yes No,Yes,Yes,Yes,Yes,Yes,No
